fold,year,demand_mode,second_stage_cost,ens_mwh,ens_hours,diesel_mwh,wind_mwh,first_stage_cost,total_proxy,status
loo_year,1998.0,center,4964781.694742957,2042.3168376384751,234,9741.549523681606,55436.853599734604,155400.0,5120181.694742957,ok:0.29s
loo_year,1998.0,high,5649482.673420522,2550.11978745985,271,10331.209619868909,55436.853599734604,155400.0,5804882.673420522,ok:0.30s
loo_year,1999.0,center,4392726.718943302,1514.056267458558,201,9595.568171615814,55570.93664560467,155400.0,4548126.718943302,ok:0.32s
loo_year,1999.0,high,4950077.731964383,1932.035613282597,217,10060.140395605953,55570.93664560467,155400.0,5105477.731964383,ok:0.31s
loo_year,2000.0,center,3188764.1101758583,681.5125326484442,80,8357.505258424713,63361.86590142548,155400.0,3344164.1101758583,ok:0.31s
loo_year,2000.0,high,3446972.9501337796,872.881276744008,98,8580.305577965906,63361.86590142548,155400.0,3602372.9501337796,ok:0.31s
loo_year,2001.0,center,3217621.837640934,670.7656786978245,67,8489.520529810365,68901.6314657703,155400.0,3373021.837640934,ok:0.30s
loo_year,2001.0,high,3428146.5731492247,821.5402072224379,79,8688.687886422624,68901.6314657703,155400.0,3583546.5731492247,ok:0.30s
loo_year,2002.0,center,4593896.322393243,1684.1934591965526,196,9699.00954398897,56179.47793998569,155400.0,4749296.322393243,ok:0.30s
loo_year,2002.0,high,5181244.255176576,2132.2747387772797,229,10163.231721330987,56179.47793998569,155400.0,5336644.255176576,ok:0.30s
loo_year,2003.0,center,3042572.931977699,498.1164819595814,75,8481.521500060391,66224.08171697706,155400.0,3197972.931977699,ok:0.30s
loo_year,2003.0,high,3333808.0023053437,698.3644155606985,90,8784.811955815487,66224.08171697706,155400.0,3489208.0023053437,ok:0.31s
loo_year,2004.0,center,5276100.35871342,2413.227824428782,254,9542.908447615462,53525.00083280355,155400.0,5431500.35871342,ok:0.30s
loo_year,2004.0,high,5891115.658564327,2902.781506362733,284,9961.11384067198,53525.00083280355,155400.0,6046515.658564327,ok:0.30s
loo_year,2005.0,center,4687357.009733323,1888.1451633267402,201,9330.70615468861,58756.84332677722,155400.0,4842757.009733323,ok:0.30s
loo_year,2005.0,high,5223853.128607041,2315.3859339253186,217,9694.89064893908,58756.84332677722,155400.0,5379253.128607041,ok:0.29s
loo_year,2006.0,center,3510703.976822122,1044.3971710606813,108,8221.022685871469,63324.00664655864,155400.0,3666103.976822122,ok:0.30s
loo_year,2006.0,high,3794770.494543556,1274.345170168036,128,8401.4177479184,63324.00664655864,155400.0,3950170.494543556,ok:0.30s
loo_year,2007.0,center,3966451.8688917225,1289.2676175399274,145,8923.947504505984,62052.275631189346,155400.0,4121851.8688917225,ok:0.29s
loo_year,2007.0,high,4363570.843424871,1592.9120056203158,167,9235.529459348518,62052.275631189346,155400.0,4518970.843424871,ok:0.29s
loo_year,2008.0,center,5179220.347749177,2234.769809956849,260,9814.835125974429,52817.15979422629,155400.0,5334620.347749177,ok:0.31s
loo_year,2008.0,high,5862079.688170326,2780.3845602998135,288,10272.317092901705,52817.15979422629,155400.0,6017479.688170326,ok:0.31s
loo_year,2009.0,center,2746383.040568444,411.49938340932124,58,7782.945523863741,69341.01204913855,155400.0,2901783.040568444,ok:0.30s
loo_year,2009.0,high,2901784.551322946,543.9676049020886,63,7859.389821402857,69341.01204913855,155400.0,3057184.551322946,ok:0.30s
loo_year,2010.0,center,3593852.1452970062,926.6749373994468,120,8890.590692991864,63246.6333367154,155400.0,3749252.1452970062,ok:0.30s
loo_year,2010.0,high,3988631.4092564294,1205.866859046042,137,9275.881834034624,63246.6333367154,155400.0,4144031.4092564294,ok:0.30s
loo_year,2011.0,center,4456067.513821172,1743.9177505741195,191,9040.499210823506,59775.22643454373,155400.0,4611467.513821172,ok:0.30s
loo_year,2011.0,high,4966895.844395693,2164.431588353155,217,9341.5475201418,59775.22643454373,155400.0,5122295.844395693,ok:0.29s
loo_year,2012.0,center,3999701.7811704446,1381.2908260093927,156,8728.036517203505,58432.17305676639,155400.0,4155101.7811704446,ok:0.30s
loo_year,2012.0,high,4442758.937437753,1725.4278663650275,175,9057.770236909088,58432.17305676639,155400.0,4598158.937437753,ok:0.31s
loo_year,2013.0,center,6971092.732302735,3683.398540039778,379,10958.980640876522,47706.77930485457,155400.0,7126492.732302735,ok:0.30s
loo_year,2013.0,high,7896007.079536662,4420.34234225117,412,11585.549124284977,47706.77930485457,155400.0,8051407.079536662,ok:0.30s
loo_year,2014.0,center,3598910.4992385204,1090.2744083445073,118,8362.120302980044,66039.2849496752,155400.0,3754310.4992385204,ok:0.29s
loo_year,2014.0,high,3886258.0165121383,1326.3682367554188,128,8532.965932522398,66039.2849496752,155400.0,4041658.0165121383,ok:0.30s
loo_year,2015.0,center,4448322.262363638,1656.7199992424248,182,9305.340877070708,60707.73980566859,155400.0,4603722.262363638,ok:0.30s
loo_year,2015.0,high,4894125.192953904,2005.9542235302924,190,9627.236564745373,60707.73980566859,155400.0,5049525.192953904,ok:0.30s
loo_year,2016.0,center,5769015.480850017,2791.264798992045,286,9925.835606193237,53493.13707882911,155400.0,5924415.480850017,ok:0.30s
loo_year,2016.0,high,6475486.220050261,3361.0259421666206,313,10381.534259612137,53493.13707882911,155400.0,6630886.220050261,ok:0.30s
loo_year,2017.0,center,3384913.9499344104,775.4312029123306,97,8698.275823406932,63586.82679145038,155400.0,3540313.9499344104,ok:0.31s
loo_year,2017.0,high,3687672.515980134,996.6765557742119,116,8969.986534019738,63586.82679145038,155400.0,3843072.515980134,ok:0.30s
