horizon_hour,week,weekday,hour,demand
807,5,5,15,21.01
808,5,5,16,20.405
809,5,5,17,19.5525
810,5,5,18,19.7175
811,5,5,19,19.7175
812,5,5,20,20.22625
813,5,5,21,21.395
814,5,5,22,21.835
815,5,5,23,20.02
816,5,6,0,17.9025
817,5,6,1,16.5825
818,5,6,2,15.0425
819,5,6,3,14.06625
820,5,6,4,13.53
821,5,6,5,13.46125
822,5,6,6,13.4475
823,5,6,7,13.43375
824,5,6,8,14.6575
825,5,6,9,16.18375
826,5,6,10,16.9675
827,5,6,11,18.1775
828,5,6,12,19.4975
829,5,6,13,20.2675
830,5,6,14,20.2675
831,5,6,15,19.8825
832,5,6,16,19.305
833,5,6,17,19.4425
834,5,6,18,19.18125
835,5,6,19,18.81
836,5,6,20,19.20875
837,5,6,21,22.0
838,5,6,22,22.37125
839,5,6,23,20.50125
840,6,0,0,18.0125
841,6,0,1,16.005
842,6,0,2,14.575
843,6,0,3,13.7775
844,6,0,4,13.68125
845,6,0,5,13.7225
846,6,0,6,15.1525
847,6,0,7,16.445
848,6,0,8,19.14
849,6,0,9,21.2025
850,6,0,10,22.8525
851,6,0,11,23.595
852,6,0,12,24.1175
853,6,0,13,24.3375
854,6,0,14,23.65
855,6,0,15,23.4575
856,6,0,16,23.32
857,6,0,17,22.9625
858,6,0,18,22.1375
859,6,0,19,21.5875
860,6,0,20,21.79375
861,6,0,21,22.9075
862,6,0,22,22.99
863,6,0,23,20.8175
864,6,1,0,18.095
865,6,1,1,16.7475
866,6,1,2,15.9225
867,6,1,3,15.675
868,6,1,4,15.73
869,6,1,5,15.73
870,6,1,6,16.4175
871,6,1,7,17.33875
872,6,1,8,20.00625
873,6,1,9,21.89
874,6,1,10,22.64625
875,6,1,11,23.6775
876,6,1,12,23.87
877,6,1,13,24.255
878,6,1,14,24.09
879,6,1,15,23.96625
880,6,1,16,23.8425
881,6,1,17,23.3475
882,6,1,18,22.59125
883,6,1,19,22.22
884,6,1,20,23.87
885,6,1,21,24.98375
886,6,1,22,23.55375
887,6,1,23,21.065
888,6,2,0,18.8375
889,6,2,1,16.995
890,6,2,2,16.01875
891,6,2,3,15.13875
892,6,2,4,15.345
893,6,2,5,15.30375
894,6,2,6,16.39
895,6,2,7,17.71
896,6,2,8,20.625
897,6,2,9,22.48125
898,6,2,10,23.43
899,6,2,11,23.76
900,6,2,12,24.75
901,6,2,13,24.585
902,6,2,14,23.925
903,6,2,15,23.815
904,6,2,16,23.375
905,6,2,17,22.9625
906,6,2,18,22.44
907,6,2,19,21.6975
908,6,2,20,23.1
909,6,2,21,23.8975
910,6,2,22,23.045
911,6,2,23,21.175
912,6,3,0,18.6725
913,6,3,1,16.9675
914,6,3,2,16.23875
915,6,3,3,15.51
916,6,3,4,14.795
917,6,3,5,15.4
918,6,3,6,16.1975
919,6,3,7,17.5175
920,6,3,8,20.35
921,6,3,9,21.615
922,6,3,10,23.1275
923,6,3,11,23.43
924,6,3,12,23.595
925,6,3,13,23.2925
926,6,3,14,22.9075
927,6,3,15,22.9625
928,6,3,16,22.7425
929,6,3,17,22.33
930,6,3,18,22.0825
931,6,3,19,21.9175
932,6,3,20,21.9725
933,6,3,21,23.58125
934,6,3,22,22.77
935,6,3,23,21.0925
936,6,4,0,17.985
937,6,4,1,17.33875
938,6,4,2,16.76125
939,6,4,3,15.41375
940,6,4,4,15.0975
941,6,4,5,15.7575
942,6,4,6,16.61
943,6,4,7,17.6
944,6,4,8,20.515
945,6,4,9,21.9175
946,6,4,10,22.4675
947,6,4,11,23.1
948,6,4,12,23.27875
949,6,4,13,23.7875
950,6,4,14,23.1
951,6,4,15,23.1275
952,6,4,16,22.88
953,6,4,17,22.67375
954,6,4,18,22.385
955,6,4,19,21.5325
956,6,4,20,22.165
957,6,4,21,22.6325
958,6,4,22,21.7525
959,6,4,23,20.2675
960,6,5,0,18.35625
961,6,5,1,16.995
962,6,5,2,15.8675
963,6,5,3,14.905
964,6,5,4,14.135
965,6,5,5,14.61625
966,6,5,6,14.8225
967,6,5,7,14.96
968,6,5,8,16.3625
969,6,5,9,18.2325
970,6,5,10,19.3875
971,6,5,11,20.2675
972,6,5,12,21.0925
973,6,5,13,21.3675
974,6,5,14,20.845
975,6,5,15,20.9275
976,6,5,16,20.515
977,6,5,17,20.405
978,6,5,18,19.965
979,6,5,19,20.00625
980,6,5,20,20.2675
981,6,5,21,22.0275
982,6,5,22,21.1475
983,6,5,23,19.635
984,6,6,0,17.7375
985,6,6,1,16.445
986,6,6,2,15.51
987,6,6,3,13.75
988,6,6,4,13.4475
989,6,6,5,13.255
990,6,6,6,13.365
991,6,6,7,13.145
992,6,6,8,14.355
993,6,6,9,15.7025
994,6,6,10,17.82
995,6,6,11,18.645
996,6,6,12,19.47
997,6,6,13,19.69
998,6,6,14,19.8275
999,6,6,15,18.975
1000,6,6,16,19.36
1001,6,6,17,18.645
1002,6,6,18,18.85125
1003,6,6,19,19.48375
1004,6,6,20,20.3225
1005,6,6,21,22.53625
1006,6,6,22,22.3025
1007,6,6,23,20.08875
1008,7,0,0,17.93
1009,7,0,1,15.9775
1010,7,0,2,14.78125
1011,7,0,3,13.86
1012,7,0,4,13.6125
1013,7,0,5,14.6025
1014,7,0,6,15.565
1015,7,0,7,17.20125
1016,7,0,8,20.22625
1017,7,0,9,22.7425
1018,7,0,10,23.4575
1019,7,0,11,24.5025
1020,7,0,12,24.42
1021,7,0,13,24.31
1022,7,0,14,23.87
1023,7,0,15,23.595
1024,7,0,16,23.21
1025,7,0,17,23.16875
1026,7,0,18,23.47125
1027,7,0,19,23.595
1028,7,0,20,24.42
1029,7,0,21,25.63
1030,7,0,22,23.65
1031,7,0,23,21.57375
1032,7,1,0,19.03
1033,7,1,1,17.6
1034,7,1,2,15.95
1035,7,1,3,15.29
1036,7,1,4,15.07
1037,7,1,5,15.125
1038,7,1,6,16.5
1039,7,1,7,18.425
1040,7,1,8,21.0925
1041,7,1,9,23.595
1042,7,1,10,24.97
1043,7,1,11,25.8775
1044,7,1,12,26.13875
1045,7,1,13,25.9875
1046,7,1,14,25.1625
1047,7,1,15,24.8875
1048,7,1,16,24.48875
1049,7,1,17,24.3925
1050,7,1,18,23.96625
1051,7,1,19,22.825
1052,7,1,20,22.715
1053,7,1,21,23.87
1054,7,1,22,24.42
1055,7,1,23,21.49125
1056,7,2,0,19.0575
1057,7,2,1,17.2975
1058,7,2,2,16.0875
1059,7,2,3,15.5375
1060,7,2,4,15.18
1061,7,2,5,14.85
1062,7,2,6,16.67875
1063,7,2,7,18.41125
1064,7,2,8,21.065
1065,7,2,9,22.9845
1066,7,2,10,23.9525
1067,7,2,11,24.04875
1068,7,2,12,24.53
1069,7,2,13,24.3925
1070,7,2,14,24.145
1071,7,2,15,24.145
1072,7,2,16,23.7325
1073,7,2,17,23.2925
1074,7,2,18,22.935
1075,7,2,19,22.385
1076,7,2,20,22.2475
1077,7,2,21,24.915
1078,7,2,22,24.02125
1079,7,2,23,21.395
1080,7,3,0,19.1675
1081,7,3,1,17.49
1082,7,3,2,16.3625
1083,7,3,3,16.15625
1084,7,3,4,15.99125
1085,7,3,5,15.51
1086,7,3,6,17.28375
1087,7,3,7,19.20875
1088,7,3,8,21.2025
1089,7,3,9,22.5775
1090,7,3,10,24.1725
1091,7,3,11,24.5025
1092,7,3,12,24.695
1093,7,3,13,24.26875
1094,7,3,14,24.21375
1095,7,3,15,24.145
1096,7,3,16,23.76
1097,7,3,17,23.705
