horizon_hour,week,weekday,hour,wind_ab_mw,wind_ka_mw
611,4,4,11,0.144876,0.0
612,4,4,12,0.195564,0.0
613,4,4,13,0.355944,0.0
614,4,4,14,0.515944,0.0
615,4,4,15,0.695032,0.142896
616,4,4,16,1.1586,0.179328
617,4,4,17,1.602132,0.0
618,4,4,18,1.967342,0.0
619,4,4,19,1.4505,0.0
620,4,4,20,1.1187,0.0
621,4,4,21,0.0,0.0
622,4,4,22,0.0,0.0
623,4,4,23,0.311196,0.0
624,4,5,0,0.600392,0.0
625,4,5,1,0.630968,0.0
626,4,5,2,0.6994,0.0
627,4,5,3,0.679016,0.0
628,4,5,4,0.777296,0.0
629,4,5,5,0.788216,0.0
630,4,5,6,1.3518,0.0
631,4,5,7,1.854684,0.0
632,4,5,8,1.517948,0.0
633,4,5,9,1.0809,0.0
634,4,5,10,0.713232,0.0
635,4,5,11,0.321492,0.0
636,4,5,12,0.155964,0.0
637,4,5,13,0.138144,0.0
638,4,5,14,0.210216,0.0
639,4,5,15,0.321492,0.0
640,4,5,16,0.273972,0.0
641,4,5,17,0.208632,0.0
642,4,5,18,0.245064,0.0
643,4,5,19,0.249024,0.0
644,4,5,20,0.260112,0.0
645,4,5,21,0.0,0.0
646,4,5,22,0.0,0.0
647,4,5,23,0.0,0.0
648,4,6,0,0.0,0.0
649,4,6,1,0.0,0.0
650,4,6,2,0.0,0.0
651,4,6,3,0.0,0.0
652,4,6,4,0.0,0.0
653,4,6,5,0.0,0.0
654,4,6,6,0.0,0.0
655,4,6,7,0.0,0.0
656,4,6,8,0.0,0.0
657,4,6,9,0.0,0.0
658,4,6,10,0.0,0.0
659,4,6,11,0.0,0.0
660,4,6,12,0.0,0.0
661,4,6,13,0.0,0.0
662,4,6,14,0.0,0.0
663,4,6,15,0.0,0.0
664,4,6,16,0.0,0.0
665,4,6,17,0.0,0.0
666,4,6,18,0.0,0.0
667,4,6,19,0.0,0.0
668,4,6,20,0.271596,0.0
669,4,6,21,0.857376,0.0
670,4,6,22,0.628784,0.0
671,4,6,23,0.354756,0.0
672,5,0,0,0.096564,0.0
673,5,0,1,0.0,0.0
674,5,0,2,0.0,0.0
675,5,0,3,0.0,0.0
676,5,0,4,0.0,0.0
677,5,0,5,0.0,0.0
678,5,0,6,0.0,0.0
679,5,0,7,0.0,0.0
680,5,0,8,0.0,0.0
681,5,0,9,0.0,0.0
682,5,0,10,0.0,0.0
683,5,0,11,0.0,0.0
684,5,0,12,0.0,0.0
685,5,0,13,0.0,0.0
686,5,0,14,0.0,0.0
687,5,0,15,0.0,0.0
688,5,0,16,0.0,0.0
689,5,0,17,0.0,0.0
690,5,0,18,0.20586,0.0
691,5,0,19,0.0,0.0
692,5,0,20,0.0,0.0
693,5,0,21,0.0,0.0
694,5,0,22,0.0,0.0
695,5,0,23,0.0,0.0
696,5,1,0,0.0,0.0
697,5,1,1,0.0,0.0
698,5,1,2,0.0,0.0
699,5,1,3,0.0,0.0
700,5,1,4,0.0,0.0
701,5,1,5,0.0,0.0
702,5,1,6,0.0,0.0
703,5,1,7,0.0,0.0
704,5,1,8,0.0,0.0
705,5,1,9,0.0,0.0
706,5,1,10,0.0,0.0
707,5,1,11,0.0,0.0
708,5,1,12,0.0,0.0
709,5,1,13,0.184872,0.0
710,5,1,14,0.0,0.0
711,5,1,15,0.0,0.0
712,5,1,16,0.0,0.0
713,5,1,17,0.0,0.0
714,5,1,18,0.0,0.0
715,5,1,19,0.0,0.0
716,5,1,20,0.0,0.0
717,5,1,21,0.0,0.0
718,5,1,22,0.0,0.0
719,5,1,23,0.0,0.0
720,5,2,0,0.0,0.0
721,5,2,1,0.16626,0.0
722,5,2,2,0.108048,0.0
723,5,2,3,0.0,0.0
724,5,2,4,0.256152,0.0
725,5,2,5,0.372576,0.0
726,5,2,6,0.365052,0.0
727,5,2,7,0.413296,0.0
728,5,2,8,0.602576,0.0
729,5,2,9,0.422032,0.0
730,5,2,10,0.23952,0.0
731,5,2,11,0.153588,0.0
732,5,2,12,0.10686,0.0
733,5,2,13,0.0,0.0
734,5,2,14,0.144084,0.0
735,5,2,15,0.259716,0.0
736,5,2,16,0.58292,0.0
737,5,2,17,0.8814,0.0
738,5,2,18,0.786032,0.0
739,5,2,19,0.516672,0.0
740,5,2,20,0.300504,0.0
741,5,2,21,0.234768,0.0
742,5,2,22,0.272784,0.0
743,5,2,23,0.0,0.0
744,5,3,0,0.0,0.0
745,5,3,1,0.0,0.0
746,5,3,2,0.0,0.0
747,5,3,3,0.0,0.0
748,5,3,4,0.0,0.0
749,5,3,5,0.0,0.0
750,5,3,6,0.0,0.0
751,5,3,7,0.0,0.0
752,5,3,8,0.0,0.0
753,5,3,9,0.0,0.0
754,5,3,10,0.0,0.0
755,5,3,11,0.0,0.0
756,5,3,12,0.0,0.0
757,5,3,13,0.0,0.0
758,5,3,14,0.0,0.0
759,5,3,15,0.246648,0.0
760,5,3,16,0.359112,0.0
761,5,3,17,0.8086,0.0
762,5,3,18,0.845,0.0
763,5,3,19,0.526136,0.0
764,5,3,20,0.225264,0.0
765,5,3,21,0.0,0.0
766,5,3,22,0.0,0.0
767,5,3,23,0.0,0.0
768,5,4,0,0.0,0.0
769,5,4,1,0.0,0.0
770,5,4,2,0.0,0.0
771,5,4,3,0.0,0.0
772,5,4,4,0.0,0.0
773,5,4,5,0.0,0.0
774,5,4,6,0.0,0.0
775,5,4,7,0.0,0.0
776,5,4,8,0.0,0.0
777,5,4,9,0.0,0.0
778,5,4,10,0.0,0.0
779,5,4,11,0.0,0.0
780,5,4,12,0.0,0.0
781,5,4,13,0.0,0.0
782,5,4,14,0.0,0.0
783,5,4,15,0.167448,0.0
784,5,4,16,0.14844,0.0
785,5,4,17,0.544336,0.0
786,5,4,18,0.31872,0.0
787,5,4,19,0.0,0.0
788,5,4,20,0.0,0.0
789,5,4,21,0.0,0.0
790,5,4,22,0.0,0.0
791,5,4,23,0.0,0.0
792,5,5,0,0.0,0.0
793,5,5,1,0.231204,0.0
794,5,5,2,0.0,0.0
795,5,5,3,0.0,0.0
796,5,5,4,0.184872,0.0
797,5,5,5,0.0,0.0
798,5,5,6,0.0,0.0
799,5,5,7,0.0,0.0
800,5,5,8,0.0,0.0
801,5,5,9,0.0,0.0
802,5,5,10,0.0,0.0
803,5,5,11,0.0,0.0
804,5,5,12,0.0,0.0
805,5,5,13,0.0,0.0
806,5,5,14,0.0,0.0
807,5,5,15,0.0,0.0
808,5,5,16,0.0,0.0
809,5,5,17,0.0,0.0
810,5,5,18,0.0,0.0
811,5,5,19,0.329808,0.0
812,5,5,20,0.845,0.0
813,5,5,21,0.810784,0.0
814,5,5,22,0.668096,0.0
815,5,5,23,0.602576,0.0
816,5,6,0,0.427856,0.0
817,5,6,1,0.338916,0.0
818,5,6,2,0.744536,0.0
819,5,6,3,0.610584,0.0
820,5,6,4,0.917072,0.0
821,5,6,5,0.781664,0.0
822,5,6,6,0.911976,0.0
823,5,6,7,0.527592,0.0
824,5,6,8,0.7176,0.0
825,5,6,9,0.497744,0.0
826,5,6,10,0.3207,0.0
827,5,6,11,0.174972,0.0
828,5,6,12,0.194376,0.0
829,5,6,13,0.389604,0.0
830,5,6,14,0.453336,0.0
831,5,6,15,0.627328,0.0
832,5,6,16,0.807144,0.0
833,5,6,17,0.625144,0.0
834,5,6,18,0.0,0.0
835,5,6,19,0.0,0.0
836,5,6,20,0.0,0.0
837,5,6,21,0.0,0.0
838,5,6,22,0.0,0.0
839,5,6,23,0.0,0.0
840,6,0,0,0.0,0.0
841,6,0,1,0.0,0.0
842,6,0,2,0.0,0.0
843,6,0,3,0.0,0.0
844,6,0,4,0.0,0.0
845,6,0,5,0.0,0.0
846,6,0,6,0.0,0.0
