horizon_hour,week,weekday,hour,wind_ab_mw,wind_ka_mw
546,4,1,18,3.5,2.16047
547,4,1,19,3.5,1.4085
548,4,1,20,3.5,0.99795
549,4,1,21,3.5,0.791128
550,4,1,22,3.5,0.856648
551,4,1,23,3.5,0.68484
552,4,2,0,3.5,0.722696
553,4,2,1,3.5,0.689208
554,4,2,2,3.5,0.92144
555,4,2,3,3.5,0.825344
556,4,2,4,3.5,1.1124
557,4,2,5,3.5,0.84864
558,4,2,6,3.5,0.866112
559,4,2,7,3.5,1.23945
560,4,2,8,3.5,1.989626
561,4,2,9,3.5,2.458828
562,4,2,10,3.5,2.79804
563,4,2,11,3.5,2.93422
564,4,2,12,3.5,2.883462
565,4,2,13,3.5,2.83518
566,4,2,14,3.5,2.879748
567,4,2,15,3.5,2.780708
568,4,2,16,3.5,2.43902
569,4,2,17,3.5,1.94382
570,4,2,18,3.5,1.599656
571,4,2,19,3.5,1.2195
572,4,2,20,3.5,1.22895
573,4,2,21,3.5,1.20795
574,4,2,22,3.5,1.3707
575,4,2,23,3.5,1.4526
576,4,3,0,3.5,1.398
577,4,3,1,3.5,1.27305
578,4,3,2,3.5,1.36335
579,4,3,3,3.5,1.20795
580,4,3,4,3.5,1.44
581,4,3,5,3.5,1.19115
582,4,3,6,3.5,1.06725
583,4,3,7,3.5,1.1775
584,4,3,8,3.5,1.904204
585,4,3,9,3.5,2.280556
586,4,3,10,3.5,2.609864
587,4,3,11,3.5,3.040688
588,4,3,12,3.5,2.951552
589,4,3,13,3.5,2.753472
590,4,3,14,3.5,3.056782
591,4,3,15,3.5,2.932982
592,4,3,16,3.5,2.809182
593,4,3,17,3.5,2.212466
594,4,3,18,3.5,1.681364
595,4,3,19,3.5,1.2048
596,4,3,20,3.5,0.94545
597,4,3,21,3.5,0.818064
598,4,3,22,3.5,0.798408
599,4,3,23,3.5,0.74672
600,4,4,0,3.5,0.740896
601,4,4,1,3.5,0.634608
602,4,4,2,3.5,0.686296
603,4,4,3,3.5,0.585832
604,4,4,4,3.5,0.719784
605,4,4,5,3.5,0.770744
606,4,4,6,3.5,0.99165
607,4,4,7,3.5,1.377
608,4,4,8,3.5,2.193896
609,4,4,9,3.5,2.372168
610,4,4,10,3.5,2.681668
611,4,4,11,3.5,2.74233
612,4,4,12,3.5,2.634624
613,4,4,13,3.5,2.776994
614,4,4,14,3.5,2.988692
615,4,4,15,3.5,3.067924
616,4,4,16,3.5,3.072876
617,4,4,17,3.5,2.435306
618,4,4,18,3.5,2.075048
619,4,4,19,3.5,1.66527
620,4,4,20,3.5,1.599656
621,4,4,21,3.5,1.618226
622,4,4,22,3.5,1.66527
623,4,4,23,3.5,1.477094
624,4,5,0,3.5,1.26045
625,4,5,1,3.5,1.04835
626,4,5,2,3.5,1.0179
627,4,5,3,3.5,0.936
628,4,5,4,3.5,0.925808
629,4,5,5,3.5,0.780208
630,4,5,6,3.5,1.00845
631,4,5,7,3.5,1.0494
632,4,5,8,3.5,1.756882
633,4,5,9,3.5,1.69622
634,4,5,10,3.5,2.096094
635,4,5,11,3.5,2.192658
636,4,5,12,3.5,2.632148
637,4,5,13,3.5,2.375882
638,4,5,14,3.5,2.722522
639,4,5,15,3.5,2.758424
640,4,5,16,3.5,2.663098
641,4,5,17,3.5,2.144376
642,4,5,18,3.5,1.798974
643,4,5,19,3.5,1.90049
644,4,5,20,3.5,1.781642
645,4,5,21,3.5,1.716028
646,4,5,22,3.5,1.712314
647,4,5,23,3.5,1.52909
648,4,6,0,3.5,1.619464
649,4,6,1,3.5,1.52909
650,4,6,2,3.5,1.31295
651,4,6,3,3.5,1.45365
652,4,6,4,3.5,1.42635
653,4,6,5,3.5,1.20165
654,4,6,6,3.5,1.2867
655,4,6,7,3.5,1.815068
656,4,6,8,3.5,2.67424
657,4,6,9,3.5,2.954028
658,4,6,10,3.5,3.358854
659,4,6,11,3.5,3.5
660,4,6,12,3.5,3.5
661,4,6,13,3.5,3.44799
662,4,6,14,3.5,3.5
663,4,6,15,3.5,3.18182
664,4,6,16,3.5,2.809182
665,4,6,17,3.5,2.195134
666,4,6,18,3.5,1.521662
667,4,6,19,3.5,1.1292
668,4,6,20,3.5,0.9633
669,4,6,21,3.5,0.89232
670,4,6,22,3.5,0.887952
671,4,6,23,3.5,0.95175
672,5,0,0,3.5,1.01055
673,5,0,1,3.5,1.03995
674,5,0,2,3.5,0.95595
675,5,0,3,3.5,0.861016
676,5,0,4,3.5,0.729976
677,5,0,5,3.5,0.722696
678,5,0,6,3.5,0.760552
679,5,0,7,3.5,1.2279
680,5,0,8,3.5,2.211228
681,5,0,9,3.5,2.601198
682,5,0,10,3.5,2.968884
683,5,0,11,3.5,3.196676
684,5,0,12,3.5,3.096398
685,5,0,13,3.5,3.316762
686,5,0,14,3.5,2.72995
687,5,0,15,3.5,2.687858
688,5,0,16,3.5,2.566534
689,5,0,17,3.5,1.748216
690,5,0,18,3.5,1.31925
691,5,0,19,3.5,1.03575
692,5,0,20,3.5,0.9654
693,5,0,21,3.5,0.9528
694,5,0,22,3.5,1.0725
695,5,0,23,3.5,1.16385
696,5,1,0,3.5,1.24365
697,5,1,1,3.5,1.0599
698,5,1,2,3.5,0.889408
699,5,1,3,3.5,0.76856
700,5,1,4,3.5,1.0116
701,5,1,5,3.5,1.1502
702,5,1,6,3.5,1.15965
703,5,1,7,3.5,1.508044
704,5,1,8,3.5,1.936392
705,5,1,9,3.5,2.33998
706,5,1,10,3.5,2.660622
707,5,1,11,3.5,2.988692
708,5,1,12,3.5,3.184296
709,5,1,13,3.5,2.975074
710,5,1,14,3.5,3.050592
711,5,1,15,3.5,2.916888
712,5,1,16,3.5,2.68043
713,5,1,17,3.5,2.057716
714,5,1,18,3.5,1.848494
715,5,1,19,3.5,1.2804
716,5,1,20,3.5,1.0494
717,5,1,21,3.5,0.936
718,5,1,22,3.5,0.882128
719,5,1,23,3.5,0.827528
720,5,2,0,3.5,0.725608
721,5,2,1,3.5,0.559624
722,5,2,2,3.5,0.857376
723,5,2,3,3.5,0.873392
724,5,2,4,3.5,0.799136
725,5,2,5,3.5,0.668096
726,5,2,6,3.5,0.700856
727,5,2,7,3.5,0.926536
728,5,2,8,3.5,1.377
729,5,2,9,3.5,1.766786
730,5,2,10,3.5,2.2657
731,5,2,11,3.5,2.731188
732,5,2,12,3.5,2.764614
733,5,2,13,3.5,2.975074
734,5,2,14,3.5,2.986216
735,5,2,15,3.5,3.05183
736,5,2,16,3.5,2.861178
737,5,2,17,3.5,2.287984
738,5,2,18,3.5,1.772976
739,5,2,19,3.5,1.36755
740,5,2,20,3.5,1.356
741,5,2,21,3.5,1.38015
742,5,2,22,3.5,1.2258
743,5,2,23,3.5,1.3644
744,5,3,0,3.5,1.29405
