horizon_hour,week,weekday,hour,demand
355,3,0,19,17.3025
356,3,0,20,17.01
357,3,0,21,17.56125
358,3,0,22,19.035
359,3,0,23,17.7525
360,3,1,0,15.795
361,3,1,1,13.9275
362,3,1,2,12.9375
363,3,1,3,12.45375
364,3,1,4,12.15
365,3,1,5,12.195
366,3,1,6,12.47625
367,3,1,7,14.265
368,3,1,8,15.67125
369,3,1,9,17.35875
370,3,1,10,18.81
371,3,1,11,19.2375
372,3,1,12,19.83375
373,3,1,13,19.7325
374,3,1,14,19.38375
375,3,1,15,19.51875
376,3,1,16,19.0575
377,3,1,17,18.82125
378,3,1,18,18.585
379,3,1,19,18.14625
380,3,1,20,17.6175
381,3,1,21,18.4275
382,3,1,22,19.13625
383,3,1,23,18.01125
384,3,2,0,15.9525
385,3,2,1,14.3325
386,3,2,2,13.455
387,3,2,3,13.005
388,3,2,4,12.6
389,3,2,5,12.6
390,3,2,6,12.83625
391,3,2,7,14.085
392,3,2,8,15.8175
393,3,2,9,17.73
394,3,2,10,18.5175
395,3,2,11,19.1025
396,3,2,12,19.67625
397,3,2,13,19.755
398,3,2,14,19.6425
399,3,2,15,19.6875
400,3,2,16,18.9
401,3,2,17,18.1575
402,3,2,18,17.8425
403,3,2,19,18.01125
404,3,2,20,17.44875
405,3,2,21,18.03375
406,3,2,22,18.52875
407,3,2,23,17.0775
408,3,3,0,15.6375
409,3,3,1,14.0175
410,3,3,2,12.9825
411,3,3,3,12.6225
412,3,3,4,12.4425
413,3,3,5,12.1725
414,3,3,6,12.465
415,3,3,7,13.995
416,3,3,8,16.1325
417,3,3,9,17.415
418,3,3,10,18.045
419,3,3,11,19.08
420,3,3,12,19.4175
421,3,3,13,19.5075
422,3,3,14,19.305
423,3,3,15,18.9675
424,3,3,16,19.17
425,3,3,17,18.9
426,3,3,18,18.9225
427,3,3,19,19.08
428,3,3,20,18.3825
429,3,3,21,19.1025
430,3,3,22,19.5075
431,3,3,23,18.61875
432,3,4,0,16.245
433,3,4,1,14.1975
434,3,4,2,13.59
435,3,4,3,12.9825
436,3,4,4,12.67875
437,3,4,5,12.3525
438,3,4,6,12.6225
439,3,4,7,13.725
440,3,4,8,15.5925
441,3,4,9,16.92
442,3,4,10,17.9325
443,3,4,11,18.99
444,3,4,12,19.3275
445,3,4,13,19.44
446,3,4,14,18.6525
447,3,4,15,18.6525
448,3,4,16,18.39375
449,3,4,17,18.09
450,3,4,18,17.62875
451,3,4,19,17.325
452,3,4,20,16.84125
453,3,4,21,17.02125
454,3,4,22,17.83125
455,3,4,23,17.20125
456,3,5,0,15.37875
457,3,5,1,13.6125
458,3,5,2,12.3075
459,3,5,3,11.9475
460,3,5,4,11.35125
461,3,5,5,11.3175
462,3,5,6,11.295
463,3,5,7,11.1375
464,3,5,8,12.7125
465,3,5,9,14.4
466,3,5,10,16.02
467,3,5,11,17.0775
468,3,5,12,17.19
469,3,5,13,17.7525
470,3,5,14,17.11125
471,3,5,15,16.8525
472,3,5,16,16.32375
473,3,5,17,16.1775
474,3,5,18,16.4025
475,3,5,19,15.435
476,3,5,20,14.63625
477,3,5,21,16.2675
478,3,5,22,17.24625
479,3,5,23,15.64875
480,3,6,0,14.13
481,3,6,1,12.7575
482,3,6,2,11.655
483,3,6,3,11.115
484,3,6,4,10.9125
485,3,6,5,10.60875
486,3,6,6,10.17
487,3,6,7,9.99
488,3,6,8,11.26125
489,3,6,9,12.8025
490,3,6,10,14.27625
491,3,6,11,14.86125
492,3,6,12,15.66
493,3,6,13,16.2675
494,3,6,14,15.8625
495,3,6,15,15.22125
496,3,6,16,15.0075
497,3,6,17,14.85
498,3,6,18,14.94
499,3,6,19,15.255
500,3,6,20,15.39
501,3,6,21,16.3125
502,3,6,22,17.73
503,3,6,23,16.8975
504,4,0,0,15.4125
505,4,0,1,13.7925
506,4,0,2,12.2625
507,4,0,3,11.79
508,4,0,4,11.6775
509,4,0,5,11.5875
510,4,0,6,11.925
511,4,0,7,13.3425
512,4,0,8,15.0525
513,4,0,9,16.8975
514,4,0,10,18.0225
515,4,0,11,18.7875
516,4,0,12,19.4625
517,4,0,13,19.9575
518,4,0,14,19.935
519,4,0,15,20.0025
520,4,0,16,20.025
521,4,0,17,19.83375
522,4,0,18,19.485
523,4,0,19,18.99
524,4,0,20,18.73125
525,4,0,21,18.855
526,4,0,22,19.65375
527,4,0,23,18.28125
528,4,1,0,15.975
529,4,1,1,14.79375
530,4,1,2,13.33125
531,4,1,3,12.43125
532,4,1,4,12.07125
533,4,1,5,12.0375
534,4,1,6,12.6
535,4,1,7,14.2425
536,4,1,8,16.1325
537,4,1,9,17.955
538,4,1,10,18.675
539,4,1,11,19.8225
540,4,1,12,19.575
541,4,1,13,19.62
542,4,1,14,19.6425
543,4,1,15,19.845
544,4,1,16,19.4175
545,4,1,17,18.81
546,4,1,18,18.63
547,4,1,19,18.16875
548,4,1,20,17.955
549,4,1,21,19.27125
550,4,1,22,18.765
551,4,1,23,17.46
552,4,2,0,15.5025
553,4,2,1,13.59
554,4,2,2,12.4425
555,4,2,3,12.2175
556,4,2,4,11.91375
557,4,2,5,11.9475
558,4,2,6,12.85875
559,4,2,7,14.085
560,4,2,8,15.39
561,4,2,9,17.685
562,4,2,10,18.585
563,4,2,11,19.3275
564,4,2,12,19.9125
565,4,2,13,19.8675
566,4,2,14,19.63125
567,4,2,15,19.71
568,4,2,16,19.53
569,4,2,17,18.97875
570,4,2,18,18.52875
571,4,2,19,18.39375
572,4,2,20,18.70875
573,4,2,21,19.58625
574,4,2,22,18.855
575,4,2,23,17.26875
576,4,3,0,15.21
577,4,3,1,13.71375
578,4,3,2,12.8925
579,4,3,3,12.735
580,4,3,4,12.22875
581,4,3,5,12.49875
582,4,3,6,13.005
583,4,3,7,14.67
584,4,3,8,16.875
585,4,3,9,18.5175
586,4,3,10,19.305
587,4,3,11,19.845
588,4,3,12,20.385
589,4,3,13,20.115
590,4,3,14,19.51875
591,4,3,15,19.67625
592,4,3,16,19.31625
593,4,3,17,19.31625
594,4,3,18,18.72
595,4,3,19,18.495
596,4,3,20,18.207
597,4,3,21,18.8775
598,4,3,22,19.26
599,4,3,23,17.82
600,4,4,0,16.515
601,4,4,1,14.0175
602,4,4,2,13.275
603,4,4,3,12.54375
604,4,4,4,12.45375
605,4,4,5,12.375
606,4,4,6,13.01625
607,4,4,7,14.1525
608,4,4,8,16.27875
609,4,4,9,17.3025
610,4,4,10,18.54
611,4,4,11,19.04625
612,4,4,12,19.7325
613,4,4,13,19.6875
614,4,4,14,19.38375
615,4,4,15,19.29375
616,4,4,16,18.1575
617,4,4,17,18.3375
618,4,4,18,17.775
619,4,4,19,17.775
620,4,4,20,17.775
621,4,4,21,18.09
622,4,4,22,18.3375
623,4,4,23,16.47
624,4,5,0,14.6475
625,4,5,1,13.6125
626,4,5,2,12.06
627,4,5,3,11.34
628,4,5,4,11.4525
629,4,5,5,11.565
630,4,5,6,11.32875
631,4,5,7,11.88
632,4,5,8,13.03875
633,4,5,9,14.8275
634,4,5,10,15.75
635,4,5,11,16.335
636,4,5,12,17.01
637,4,5,13,17.37
638,4,5,14,17.235
639,4,5,15,17.0325
640,4,5,16,16.875
641,4,5,17,16.0875
642,4,5,18,15.5025
643,4,5,19,15.6375
644,4,5,20,15.8175
645,4,5,21,16.5825
646,4,5,22,16.515
647,4,5,23,15.4575
648,4,6,0,14.1075
649,4,6,1,12.645
650,4,6,2,11.6775
651,4,6,3,11.25
652,4,6,4,10.7775
653,4,6,5,10.62
654,4,6,6,10.60875
655,4,6,7,11.025
656,4,6,8,11.52
657,4,6,9,12.1275
658,4,6,10,13.59
659,4,6,11,14.715
660,4,6,12,15.53625
661,4,6,13,16.2225
662,4,6,14,16.45875
663,4,6,15,16.29
664,4,6,16,15.4575
665,4,6,17,15.435
